"","season","2.5 %","97.5 %","TS.slope"
"1","RS.Slope",0.03125,0.13,0.0777777777777777
"2","Jun",0,0.275,0.108
"3","Jul",0.0703124999999999,0.225,0.142481203007519
"4","Aug",-0.0093306288032454,0.165909090909091,0.0625
"5","Sep",-0.0842592592592592,0.0600114416475972,-0.00909090909090922
