"","Site","Date","Depth","DO","%_DO","Temp","Year","Month","Layer","Layer_Spline"
"2441","KALI",2022-08-23,8,7.3,83.4,22.5,"2022","Aug","Thermocline","Epilimnion"
"2442","KALI",2022-08-23,9,7.51,84.2,21,"2022","Aug","Thermocline","Thermocline"
"2443","KALI",2022-08-23,10,8.5,89.3,17.6,"2022","Aug","Thermocline","Thermocline"
"2444","KALI",2022-08-23,11,8.82,86.3,14.3,"2022","Aug","Hypolimnion","Thermocline"
"2445","KALI",2022-09-19,0.1,7.97,87,19.7,"2022","Sep","Epilimnion","Epilimnion"
"2446","KALI",2022-09-19,1,7.96,86.8,19.5,"2022","Sep","Epilimnion","Epilimnion"
"2447","KALI",2022-09-19,2,7.93,85.9,19.4,"2022","Sep","Epilimnion","Epilimnion"
"2448","KALI",2022-09-19,3,7.85,85.1,19.3,"2022","Sep","Epilimnion","Epilimnion"
"2449","KALI",2022-09-19,4,7.82,84.8,19.3,"2022","Sep","Epilimnion","Epilimnion"
"2450","KALI",2022-09-19,5,7.79,84.4,19.3,"2022","Sep","Epilimnion","Epilimnion"
"2451","KALI",2022-09-19,6,7.78,84.2,19.3,"2022","Sep","Epilimnion","Epilimnion"
"2452","KALI",2022-09-19,7,7.75,83.9,19.2,"2022","Sep","Epilimnion","Epilimnion"
"2453","KALI",2022-09-19,8,7.73,83.7,19.2,"2022","Sep","Epilimnion","Epilimnion"
"2454","KALI",2022-09-19,9,7.74,83.3,18.9,"2022","Sep","Thermocline","Thermocline"
"2455","KALI",2022-09-19,10,8.57,88.7,17,"2022","Sep","Thermocline","Thermocline"
"2456","KALI",2022-09-19,11,8.56,86.3,15.7,"2022","Sep","Hypolimnion","Thermocline"
"2457","KALI",2023-06-20,0.1,10.14,104.5,16.8,"2023","Jun","Epilimnion","Epilimnion"
"2458","KALI",2023-06-20,1,10.11,104.4,16.9,"2023","Jun","Epilimnion","Epilimnion"
"2459","KALI",2023-06-20,2,10.09,104.2,16.9,"2023","Jun","Epilimnion","Epilimnion"
"2460","KALI",2023-06-20,3,10.08,104.1,16.9,"2023","Jun","Epilimnion","Epilimnion"
"2461","KALI",2023-06-20,4,10.06,103.9,16.9,"2023","Jun","Epilimnion","Epilimnion"
"2462","KALI",2023-06-20,5,10.08,103.8,16.9,"2023","Jun","Epilimnion","Epilimnion"
"2463","KALI",2023-06-20,6,10.03,103.6,16.9,"2023","Jun","Thermocline","Epilimnion"
"2464","KALI",2023-06-20,7,10.63,106,15.3,"2023","Jun","Thermocline","Thermocline"
"2465","KALI",2023-06-20,8,11.06,107.6,14.1,"2023","Jun","Thermocline","Thermocline"
"2466","KALI",2023-06-20,9,11.8,109.3,12,"2023","Jun","Thermocline","Thermocline"
"2467","KALI",2023-06-20,10,11.97,107.8,10.7,"2023","Jun","Thermocline","Thermocline"
"2468","KALI",2023-06-20,11,12.09,102.8,8.3,"2023","Jun","Hypolimnion","Thermocline"
"2469","KALI",2023-07-27,0.1,9.07,105.1,22.7,"2023","Jul","Epilimnion","Epilimnion"
"2470","KALI",2023-07-27,1,9.12,105,22.4,"2023","Jul","Epilimnion","Epilimnion"
"2471","KALI",2023-07-27,2,9.12,104.9,22.3,"2023","Jul","Epilimnion","Epilimnion"
"2472","KALI",2023-07-27,3,9.13,104.8,22.2,"2023","Jul","Epilimnion","Epilimnion"
"2473","KALI",2023-07-27,4,9.12,104.5,22.2,"2023","Jul","Epilimnion","Epilimnion"
"2474","KALI",2023-07-27,5,9.12,103.7,21.7,"2023","Jul","Epilimnion","Epilimnion"
"2475","KALI",2023-07-27,6,9.1,103.3,21.6,"2023","Jul","Epilimnion","Epilimnion"
"2476","KALI",2023-07-27,7,9.18,103.9,21.5,"2023","Jul","Epilimnion","Epilimnion"
"2477","KALI",2023-07-27,8,9.24,103.5,21,"2023","Jul","Thermocline","Thermocline"
"2478","KALI",2023-07-27,9,10.19,109,18.6,"2023","Jul","Thermocline","Thermocline"
"2479","KALI",2023-07-27,10,11.16,113,16.1,"2023","Jul","Hypolimnion","Thermocline"
"2480","KALI",2023-08-23,0.1,9.16,103.3,21.3,"2023","Aug","Epilimnion","Epilimnion"
"2481","KALI",2023-08-23,1,9.14,103.1,21.3,"2023","Aug","Epilimnion","Epilimnion"
"2482","KALI",2023-08-23,2,9.13,103.1,21.3,"2023","Aug","Epilimnion","Epilimnion"
"2483","KALI",2023-08-23,3,9.13,103,21.3,"2023","Aug","Epilimnion","Epilimnion"
"2484","KALI",2023-08-23,4,9.11,102.8,21.3,"2023","Aug","Epilimnion","Epilimnion"
"2485","KALI",2023-08-23,5,9.11,102.6,21.2,"2023","Aug","Epilimnion","Epilimnion"
"2486","KALI",2023-08-23,6,9.1,102.4,21.2,"2023","Aug","Epilimnion","Epilimnion"
"2487","KALI",2023-08-23,7,9.08,102.2,21.2,"2023","Aug","Epilimnion","Epilimnion"
"2488","KALI",2023-08-23,8,9.09,102.7,21.2,"2023","Aug","Thermocline","Thermocline"
"2489","KALI",2023-08-23,9,11.2,115.7,16.8,"2023","Aug","Thermocline","Thermocline"
"2490","KALI",2023-08-23,10,11.63,114.1,14.4,"2023","Aug","Thermocline","Thermocline"
"2491","KALI",2023-08-23,11,12.04,110.7,11.4,"2023","Aug","Hypolimnion","Thermocline"
"2492","KALI",2023-09-19,0.1,9.68,103.7,18.7,"2023","Sep","No Thermocline","No Thermocline"
"2493","KALI",2023-09-19,1,9.65,103.4,18.8,"2023","Sep","No Thermocline","No Thermocline"
"2494","KALI",2023-09-19,2,9.63,103.3,18.8,"2023","Sep","No Thermocline","No Thermocline"
"2495","KALI",2023-09-19,3,9.61,103.2,18.8,"2023","Sep","No Thermocline","No Thermocline"
"2496","KALI",2023-09-19,4,9.59,103,18.8,"2023","Sep","No Thermocline","No Thermocline"
"2497","KALI",2023-09-19,5,9.57,102.7,18.8,"2023","Sep","No Thermocline","No Thermocline"
"2498","KALI",2023-09-19,6,9.55,102.5,18.8,"2023","Sep","No Thermocline","No Thermocline"
"2499","KALI",2023-09-19,7,9.53,102.3,18.8,"2023","Sep","No Thermocline","No Thermocline"
"2500","KALI",2023-09-19,8,9.51,102,18.8,"2023","Sep","No Thermocline","No Thermocline"
"2501","KALI",2023-09-19,9,9.52,102.3,18.8,"2023","Sep","No Thermocline","No Thermocline"
"2502","KALI",2023-09-19,10,9.51,102.1,18.8,"2023","Sep","No Thermocline","No Thermocline"
"2503","KALI",2023-09-19,11,9.53,102.3,18.8,"2023","Sep","No Thermocline","No Thermocline"
"2504","LUBY",2017-06-12,0.1,8.54,88.6,17.1,"2017","Jun","No Thermocline","No Thermocline"
"2505","LUBY",2017-06-12,1,8.63,88.5,16.7,"2017","Jun","No Thermocline","No Thermocline"
"2506","LUBY",2017-06-12,2,8.63,87.5,16,"2017","Jun","No Thermocline","No Thermocline"
"2507","LUBY",2017-06-12,3,8.73,87.3,15.4,"2017","Jun","No Thermocline","No Thermocline"
"2508","LUBY",2017-06-12,4,8.72,87.3,15.3,"2017","Jun","No Thermocline","No Thermocline"
"2509","LUBY",2017-06-12,5,8.73,86.6,15,"2017","Jun","No Thermocline","No Thermocline"
"2510","LUBY",2017-06-12,6,8.75,86.6,14.9,"2017","Jun","No Thermocline","No Thermocline"
"2511","LUBY",2017-06-12,7,8.8,86.6,14.7,"2017","Jun","No Thermocline","No Thermocline"
"2512","LUBY",2017-06-12,8,8.81,86.6,14.5,"2017","Jun","No Thermocline","No Thermocline"
"2513","LUBY",2017-06-12,9,8.85,86.2,14.2,"2017","Jun","No Thermocline","No Thermocline"
"2514","LUBY",2017-06-12,10,8.88,86.2,14,"2017","Jun","No Thermocline","No Thermocline"
"2515","LUBY",2017-07-12,0.1,7.52,85.7,21.8,"2017","Jul","Epilimnion","Epilimnion"
"2516","LUBY",2017-07-12,1,7.54,85.7,21.7,"2017","Jul","Epilimnion","Epilimnion"
"2517","LUBY",2017-07-12,2,7.53,85.6,21.7,"2017","Jul","Epilimnion","Epilimnion"
"2518","LUBY",2017-07-12,3,7.53,85.4,21.6,"2017","Jul","Epilimnion","Epilimnion"
"2519","LUBY",2017-07-12,4,7.51,85.2,21.6,"2017","Jul","Epilimnion","Epilimnion"
"2520","LUBY",2017-07-12,5,7.49,85,21.6,"2017","Jul","Epilimnion","Epilimnion"
"2521","LUBY",2017-07-12,6,7.5,85,21.5,"2017","Jul","Thermocline","Thermocline"
"2522","LUBY",2017-07-12,7,8.4,89.8,18.7,"2017","Jul","Thermocline","Thermocline"
"2523","LUBY",2017-07-12,8,8.6,90.7,17.9,"2017","Jul","Thermocline","Thermocline"
"2524","LUBY",2017-07-12,9,8.74,90.3,16.9,"2017","Jul","Hypolimnion","Hypolimnion"
"2525","LUBY",2017-07-12,10,8.75,89,16.2,"2017","Jul","Hypolimnion","Hypolimnion"
"2526","LUBY",2017-08-07,0.1,7.19,86.1,24.5,"2017","Aug","No Thermocline","No Thermocline"
"2527","LUBY",2017-08-07,1,7.23,86.2,24.2,"2017","Aug","No Thermocline","No Thermocline"
"2528","LUBY",2017-08-07,2,7.24,85.9,24,"2017","Aug","No Thermocline","No Thermocline"
"2529","LUBY",2017-08-07,3,7.28,85.8,23.7,"2017","Aug","No Thermocline","No Thermocline"
"2530","LUBY",2017-08-07,4,7.32,86.3,23.5,"2017","Aug","No Thermocline","No Thermocline"
"2531","LUBY",2017-08-07,5,7.28,85.2,23.3,"2017","Aug","No Thermocline","No Thermocline"
"2532","LUBY",2017-08-07,6,7.24,84.7,23.2,"2017","Aug","No Thermocline","No Thermocline"
"2533","LUBY",2017-08-07,7,7.21,84.4,23.2,"2017","Aug","No Thermocline","No Thermocline"
"2534","LUBY",2017-09-11,0.1,7.61,85.4,21,"2017","Sep","No Thermocline","No Thermocline"
"2535","LUBY",2017-09-11,1,7.64,85.5,20.9,"2017","Sep","No Thermocline","No Thermocline"
"2536","LUBY",2017-09-11,2,7.65,85.5,20.8,"2017","Sep","No Thermocline","No Thermocline"
"2537","LUBY",2017-09-11,3,7.65,85.4,20.8,"2017","Sep","No Thermocline","No Thermocline"
"2538","LUBY",2017-09-11,4,7.64,85.2,20.7,"2017","Sep","No Thermocline","No Thermocline"
"2539","LUBY",2017-09-11,5,7.64,85.1,20.6,"2017","Sep","No Thermocline","No Thermocline"
"2540","LUBY",2017-09-11,6,7.63,84.6,20.4,"2017","Sep","No Thermocline","No Thermocline"
"2541","LUBY",2017-09-11,7,7.63,84.4,20.3,"2017","Sep","No Thermocline","No Thermocline"
"2542","LUBY",2017-09-11,8,7.62,84.1,20.2,"2017","Sep","No Thermocline","No Thermocline"
"2543","LUBY",2017-09-11,9,7.6,83.9,20.2,"2017","Sep","No Thermocline","No Thermocline"
"2544","LUBY",2017-09-11,10,7.69,84.1,19.7,"2017","Sep","No Thermocline","No Thermocline"
"2545","LUBY",2017-10-10,0.1,8.64,83.4,13.8,"2017","Oct","No Thermocline","No Thermocline"
"2546","LUBY",2017-10-10,1,8.61,83.3,13.9,"2017","Oct","No Thermocline","No Thermocline"
"2547","LUBY",2017-10-10,2,8.6,83.2,13.9,"2017","Oct","No Thermocline","No Thermocline"
"2548","LUBY",2017-10-10,3,8.58,83,13.9,"2017","Oct","No Thermocline","No Thermocline"
"2549","LUBY",2017-10-10,4,8.56,82.9,13.9,"2017","Oct","No Thermocline","No Thermocline"
"2550","LUBY",2017-10-10,5,8.54,82.7,13.9,"2017","Oct","No Thermocline","No Thermocline"
"2551","LUBY",2017-10-10,6,8.54,82.5,13.8,"2017","Oct","No Thermocline","No Thermocline"
"2552","LUBY",2017-10-10,7,8.52,82.3,13.8,"2017","Oct","No Thermocline","No Thermocline"
"2553","LUBY",2017-10-10,8,8.5,82.1,13.8,"2017","Oct","No Thermocline","No Thermocline"
"2554","LUBY",2017-10-10,9,8.49,82,13.8,"2017","Oct","No Thermocline","No Thermocline"
"2555","LUBY",2017-10-10,10,8.48,82,13.8,"2017","Oct","No Thermocline","No Thermocline"
"2556","LUBY",2019-06-18,0.1,7.56,83.1,20,"2019","Jun","Epilimnion","Epilimnion"
"2557","LUBY",2019-06-18,1,7.65,NA,19.8,"2019","Jun","Epilimnion","Epilimnion"
"2558","LUBY",2019-06-18,2,7.65,NA,19.4,"2019","Jun","Epilimnion","Epilimnion"
"2559","LUBY",2019-06-18,3,7.84,83.8,18.6,"2019","Jun","Thermocline","Thermocline"
"2560","LUBY",2019-06-18,4,8.25,85.4,17,"2019","Jun","Thermocline","Thermocline"
"2561","LUBY",2019-06-18,5,8.52,NA,15.8,"2019","Jun","Thermocline","Thermocline"
"2562","LUBY",2019-06-18,6,8.63,NA,14.8,"2019","Jun","Thermocline","Thermocline"
"2563","LUBY",2019-06-18,7,8.99,NA,13,"2019","Jun","Thermocline","Thermocline"
"2564","LUBY",2019-06-18,8,9.23,NA,12,"2019","Jun","Hypolimnion","Hypolimnion"
"2565","LUBY",2019-06-18,9,9.49,NA,11.2,"2019","Jun","Hypolimnion","Hypolimnion"
"2566","LUBY",2019-06-18,10,9.3,84,11.1,"2019","Jun","Hypolimnion","Hypolimnion"
"2567","LWPR",1994-06-22,1.7,10.1,NA,17.1,"1994","Jun","No Thermocline","No Thermocline"
"2568","LWPR",2022-06-27,0.1,7.45,86.8,23.1,"2022","Jun","No Thermocline","No Thermocline"
"2569","LWPR",2022-06-27,1,7.47,86.9,22.9,"2022","Jun","No Thermocline","No Thermocline"
"2570","LWPR",2022-06-27,2,7.46,86.8,22.9,"2022","Jun","No Thermocline","No Thermocline"
"2571","LWPR",2022-08-23,0.1,7.26,82.8,21.9,"2022","Aug","No Thermocline","No Thermocline"
"2572","LWPR",2022-08-23,1,7.18,82.1,22,"2022","Aug","No Thermocline","No Thermocline"
"2573","LWPR",2022-09-19,0.1,7.88,85.8,19.5,"2022","Sep","No Thermocline","No Thermocline"
"2574","LWPR",2022-09-19,1,7.9,85.5,19.3,"2022","Sep","No Thermocline","No Thermocline"
"2575","LWPR",2022-09-19,2,7.91,85.1,19,"2022","Sep","No Thermocline","No Thermocline"
"2576","LWPR",2023-06-20,0.1,10.85,108.2,15.3,"2023","Jun","No Thermocline","No Thermocline"
"2577","LWPR",2023-06-20,1,10.83,108.3,15.4,"2023","Jun","No Thermocline","No Thermocline"
"2578","LWPR",2023-06-20,2,10.83,108.3,15.4,"2023","Jun","No Thermocline","No Thermocline"
"2579","LWPR",2023-07-27,0.1,9.21,101.5,20.1,"2023","Jul","No Thermocline","No Thermocline"
"2580","LWPR",2023-07-27,1,9.17,101.3,20.1,"2023","Jul","No Thermocline","No Thermocline"
"2581","LWPR",2023-07-27,1.75,9.19,101.3,20.1,"2023","Jul","No Thermocline","No Thermocline"
"2582","LWPR",2023-08-23,0.1,9.27,102.2,20.2,"2023","Aug","No Thermocline","No Thermocline"
"2583","LWPR",2023-08-23,1,9.17,101.6,20.4,"2023","Aug","No Thermocline","No Thermocline"
"2584","LWPR",2023-08-23,1.5,9.17,101.7,20.4,"2023","Aug","No Thermocline","No Thermocline"
"2585","LWPR",2023-09-19,0.1,9.63,101.5,17.9,"2023","Sep","No Thermocline","No Thermocline"
"2586","LWPR",2023-09-19,1,9.59,101.3,18,"2023","Sep","No Thermocline","No Thermocline"
"2587","LWPR",2023-09-19,1.5,9.59,101.3,18,"2023","Sep","No Thermocline","No Thermocline"
"2588","LWQA-S",2015-07-29,0.1,7.6,86,21.5,"2015","Jul","Epilimnion","Epilimnion"
"2589","LWQA-S",2015-07-29,1,7.56,85,21.4,"2015","Jul","Epilimnion","Epilimnion"
"2590","LWQA-S",2015-07-29,2,7.58,84.7,21,"2015","Jul","Epilimnion","Epilimnion"
"2591","LWQA-S",2015-07-29,3,7.57,84.5,20.8,"2015","Jul","Epilimnion","Epilimnion"
"2592","LWQA-S",2015-07-29,4,7.57,84.4,20.8,"2015","Jul","Epilimnion","Epilimnion"
"2593","LWQA-S",2015-07-29,5,7.56,84.2,20.7,"2015","Jul","Epilimnion","Epilimnion"
"2594","LWQA-S",2015-07-29,6,7.56,84.1,20.7,"2015","Jul","Epilimnion","Epilimnion"
"2595","LWQA-S",2015-07-29,7,7.54,83.8,20.6,"2015","Jul","Epilimnion","Epilimnion"
"2596","LWQA-S",2015-07-29,8,7.52,83.7,20.6,"2015","Jul","Epilimnion","Epilimnion"
"2597","LWQA-S",2015-07-29,9,7.53,83.7,20.5,"2015","Jul","Thermocline","Epilimnion"
"2598","LWQA-S",2015-07-29,10,7.99,93.5,19.5,"2015","Jul","Thermocline","Thermocline"
"2599","LWQA-S",2015-07-29,11,9.18,95.2,17.2,"2015","Jul","Thermocline","Thermocline"
"2600","LWQA-S",2015-07-29,12,9.53,92.7,14.9,"2015","Jul","Thermocline","Thermocline"
"2601","LWQA-S",2015-07-29,13,9.89,90.7,12.3,"2015","Jul","Thermocline","Thermocline"
"2602","LWQA-S",2015-07-29,14,9.98,89.2,10.9,"2015","Jul","Thermocline","Hypolimnion"
"2603","LWQA-S",2015-07-29,15,9.95,87.8,10.1,"2015","Jul","Thermocline","Hypolimnion"
"2604","LWQA-S",2015-07-29,16,9.84,84.6,9.1,"2015","Jul","Hypolimnion","Hypolimnion"
"2605","LWQA-S",2015-07-29,17,9.67,82,8.6,"2015","Jul","Hypolimnion","Hypolimnion"
"2606","LWQA-S",2015-07-29,18,9.56,80.7,8.2,"2015","Jul","Hypolimnion","Hypolimnion"
"2607","LWQA-S",2015-07-29,19,9.15,79.4,8,"2015","Jul","Hypolimnion","Hypolimnion"
"2608","LWQA-S",2015-07-29,20,9.1,78.6,7.8,"2015","Jul","Hypolimnion","Hypolimnion"
"2609","LWQA-S",2015-07-29,21,9.31,77.4,7.6,"2015","Jul","Hypolimnion","Hypolimnion"
"2610","LWQA-S",2015-07-29,22,9.24,76.3,7.3,"2015","Jul","Hypolimnion","Hypolimnion"
"2611","LWQA-S",2015-07-29,23,9.14,74.6,7,"2015","Jul","Hypolimnion","Hypolimnion"
"2612","LWQA-S",2015-07-29,24,9.05,73.6,6.7,"2015","Jul","Hypolimnion","Hypolimnion"
"2613","LWQA-S",2015-07-29,25,8.99,73,6.6,"2015","Jul","Hypolimnion","Hypolimnion"
"2614","LWQA-S",2015-07-29,30,8.75,70.4,6.1,"2015","Jul","Hypolimnion","Hypolimnion"
"2615","LWQA-S",2015-07-29,35,8.66,69.3,5.9,"2015","Jul","Hypolimnion","Hypolimnion"
"2616","LWQA-S",2015-07-29,40,8.5,67.5,5.7,"2015","Jul","Hypolimnion","Hypolimnion"
"2617","LWQA-S",2015-07-29,45,8.24,65.3,5.6,"2015","Jul","Hypolimnion","Hypolimnion"
"2618","LWQA-S",2016-07-18,0.1,7.9,88.9,20.9,"2016","Jul","Epilimnion","Thermocline"
"2619","LWQA-S",2016-07-18,1,7.93,87.2,20,"2016","Jul","Epilimnion","Thermocline"
"2620","LWQA-S",2016-07-18,2,7.96,86.7,19.5,"2016","Jul","Epilimnion","Thermocline"
"2621","LWQA-S",2016-07-18,3,7.98,86.5,19.3,"2016","Jul","Epilimnion","Thermocline"
"2622","LWQA-S",2016-07-18,4,8.01,86.4,19.1,"2016","Jul","Epilimnion","Thermocline"
"2623","LWQA-S",2016-07-18,5,8.03,86.3,18.9,"2016","Jul","Epilimnion","Thermocline"
"2624","LWQA-S",2016-07-18,6,8.03,86.2,18.9,"2016","Jul","Epilimnion","Thermocline"
"2625","LWQA-S",2016-07-18,7,8.01,86,18.8,"2016","Jul","Epilimnion","Thermocline"
"2626","LWQA-S",2016-07-18,8,7.98,85.7,18.8,"2016","Jul","Epilimnion","Thermocline"
"2627","LWQA-S",2016-07-18,9,8.01,84.8,18.2,"2016","Jul","Epilimnion","Thermocline"
"2628","LWQA-S",2016-07-18,10,8.25,86.1,17.5,"2016","Jul","Thermocline","Thermocline"
"2629","LWQA-S",2016-07-18,11,8.71,86.7,15.3,"2016","Jul","Thermocline","Thermocline"
"2630","LWQA-S",2016-07-18,12,8.81,84.9,13.7,"2016","Jul","Thermocline","Thermocline"
"2631","LWQA-S",2016-07-18,13,8.83,83.9,13.1,"2016","Jul","Thermocline","Thermocline"
"2632","LWQA-S",2016-07-18,14,8.9,81.3,11.3,"2016","Jul","Thermocline","Thermocline"
"2633","LWQA-S",2016-07-18,15,8.96,78.4,9.5,"2016","Jul","Hypolimnion","Hypolimnion"
"2634","LWQA-S",2016-07-18,16,8.94,77.7,9.2,"2016","Jul","Hypolimnion","Hypolimnion"
"2635","LWQA-S",2016-07-18,17,8.93,76.5,8.6,"2016","Jul","Hypolimnion","Hypolimnion"
"2636","LWQA-S",2016-07-18,18,8.92,75.4,8.2,"2016","Jul","Hypolimnion","Hypolimnion"
"2637","LWQA-S",2016-07-18,19,8.89,74.7,7.8,"2016","Jul","Hypolimnion","Hypolimnion"
"2638","LWQA-S",2016-07-18,20,8.82,73.8,7.6,"2016","Jul","Hypolimnion","Hypolimnion"
"2639","LWQA-S",2016-07-18,21,8.78,72.7,7.2,"2016","Jul","Hypolimnion","Hypolimnion"
"2640","LWQA-S",2016-07-18,22,8.77,72.4,7.1,"2016","Jul","Hypolimnion","Hypolimnion"
"2641","LWQA-S",2016-07-18,23,8.74,72.1,7.1,"2016","Jul","Hypolimnion","Hypolimnion"
"2642","LWQA-S",2016-07-18,24,8.73,71.9,7,"2016","Jul","Hypolimnion","Hypolimnion"
"2643","LWQA-S",2016-07-18,25,8.72,71.5,6.8,"2016","Jul","Hypolimnion","Hypolimnion"
"2644","LWQA-S",2016-07-18,26,8.7,71.2,6.7,"2016","Jul","Hypolimnion","Hypolimnion"
"2645","LWQA-S",2016-07-18,27,8.66,70.1,6.3,"2016","Jul","Hypolimnion","Hypolimnion"
"2646","LWQA-S",2016-07-18,28,8.64,69.8,6.2,"2016","Jul","Hypolimnion","Hypolimnion"
"2647","LWQA-S",2016-07-18,29,8.62,69.6,6.2,"2016","Jul","Hypolimnion","Hypolimnion"
"2648","LWQA-S",2016-07-18,30,8.63,69.5,6.1,"2016","Jul","Hypolimnion","Hypolimnion"
"2649","LWQA-S",2016-07-18,35,8.54,68.6,6,"2016","Jul","Hypolimnion","Hypolimnion"
"2650","LWQA-S",2016-07-18,40,8.44,67.4,5.8,"2016","Jul","Hypolimnion","Hypolimnion"
"2651","LWQA-S",2016-08-22,0.1,7.44,83.8,21.3,"2016","Aug","Epilimnion","Epilimnion"
"2652","LWQA-S",2016-08-22,1,7.42,84,21.5,"2016","Aug","Epilimnion","Epilimnion"
"2653","LWQA-S",2016-08-22,2,7.42,84,21.5,"2016","Aug","Epilimnion","Epilimnion"
"2654","LWQA-S",2016-08-22,3,7.41,84.1,21.6,"2016","Aug","Epilimnion","Epilimnion"
"2655","LWQA-S",2016-08-22,4,7.4,84,21.6,"2016","Aug","Epilimnion","Epilimnion"
"2656","LWQA-S",2016-08-22,5,7.4,83.9,21.6,"2016","Aug","Epilimnion","Epilimnion"
"2657","LWQA-S",2016-08-22,6,7.43,84.2,21.5,"2016","Aug","Epilimnion","Epilimnion"
"2658","LWQA-S",2016-08-22,7,7.47,84.3,21.4,"2016","Aug","Epilimnion","Epilimnion"
"2659","LWQA-S",2016-08-22,8,7.5,84.2,21,"2016","Aug","Epilimnion","Epilimnion"
"2660","LWQA-S",2016-08-22,9,7.54,84.4,20.9,"2016","Aug","Epilimnion","Epilimnion"
"2661","LWQA-S",2016-08-22,10,7.8,85.8,20,"2016","Aug","Thermocline","Thermocline"
"2662","LWQA-S",2016-08-22,11,8.63,89.7,17.3,"2016","Aug","Thermocline","Thermocline"
"2663","LWQA-S",2016-08-22,12,8.99,87.7,14.2,"2016","Aug","Thermocline","Thermocline"
"2664","LWQA-S",2016-08-22,13,8.93,84.8,13.1,"2016","Aug","Thermocline","Thermocline"
"2665","LWQA-S",2016-08-22,14,8.9,83.5,12.6,"2016","Aug","Thermocline","Thermocline"
"2666","LWQA-S",2016-08-22,15,8.86,82.8,12.3,"2016","Aug","Thermocline","Thermocline"
"2667","LWQA-S",2016-08-22,16,8.85,81.7,11.8,"2016","Aug","Thermocline","Thermocline"
"2668","LWQA-S",2016-08-22,17,8.81,79.2,10.7,"2016","Aug","Hypolimnion","Thermocline"
"2669","LWQA-S",2016-08-22,18,8.81,77.7,9.8,"2016","Aug","Hypolimnion","Hypolimnion"
"2670","LWQA-S",2016-08-22,19,8.78,76.5,9.3,"2016","Aug","Hypolimnion","Hypolimnion"
"2671","LWQA-S",2016-08-22,20,8.79,75.6,8.8,"2016","Aug","Hypolimnion","Hypolimnion"
"2672","LWQA-S",2016-08-22,21,8.76,75.2,8.7,"2016","Aug","Hypolimnion","Hypolimnion"
"2673","LWQA-S",2016-08-22,22,8.71,74,8.3,"2016","Aug","Hypolimnion","Hypolimnion"
"2674","LWQA-S",2016-08-22,23,8.65,72.9,7.9,"2016","Aug","Hypolimnion","Hypolimnion"
"2675","LWQA-S",2016-08-22,24,8.6,71.9,7.7,"2016","Aug","Hypolimnion","Hypolimnion"
"2676","LWQA-S",2016-08-22,25,8.53,71.1,7.5,"2016","Aug","Hypolimnion","Hypolimnion"
"2677","LWQA-S",2016-08-22,26,8.44,69.7,7.2,"2016","Aug","Hypolimnion","Hypolimnion"
"2678","LWQA-S",2016-08-22,27,8.4,69.3,7.1,"2016","Aug","Hypolimnion","Hypolimnion"
"2679","LWQA-S",2016-08-22,28,8.36,68.9,7,"2016","Aug","Hypolimnion","Hypolimnion"
"2680","LWQA-S",2016-08-22,29,8.34,68.5,6.9,"2016","Aug","Hypolimnion","Hypolimnion"
"2681","LWQA-S",2016-08-22,30,8.31,68.1,6.8,"2016","Aug","Hypolimnion","Hypolimnion"
"2682","LWQA-S",2016-08-22,32,8.29,67.4,6.5,"2016","Aug","Hypolimnion","Hypolimnion"
"2683","LWQA-S",2016-08-22,34,8.27,67.1,6.4,"2016","Aug","Hypolimnion","Hypolimnion"
"2684","LWQA-S",2016-08-22,36,8.23,66.6,6.3,"2016","Aug","Hypolimnion","Hypolimnion"
"2685","LWQA-S",2016-08-22,38,8.09,65.2,6.1,"2016","Aug","Hypolimnion","Hypolimnion"
"2686","LWQA-S",2016-08-22,40,7.82,62.8,6,"2016","Aug","Hypolimnion","Hypolimnion"
"2687","LWQA-S",2016-08-22,42,7.82,62.6,5.9,"2016","Aug","Hypolimnion","Hypolimnion"
"2688","LWQA-S",2016-08-22,44,7.79,62.3,5.8,"2016","Aug","Hypolimnion","Hypolimnion"
"2689","LWQA-S",2017-05-15,0.1,9.56,85.6,10.5,"2017","May","Thermocline","No Thermocline"
"2690","LWQA-S",2017-05-15,1,9.63,84.3,9.5,"2017","May","Thermocline","No Thermocline"
"2691","LWQA-S",2017-05-15,2,9.65,84,9.2,"2017","May","Thermocline","No Thermocline"
"2692","LWQA-S",2017-05-15,3,9.68,83.7,9,"2017","May","Thermocline","No Thermocline"
"2693","LWQA-S",2017-05-15,4,9.65,83.3,8.9,"2017","May","Thermocline","No Thermocline"
"2694","LWQA-S",2017-05-15,5,9.64,83,8.8,"2017","May","Thermocline","No Thermocline"
"2695","LWQA-S",2017-05-15,6,9.62,82.8,8.8,"2017","May","Thermocline","No Thermocline"
"2696","LWQA-S",2017-05-15,7,9.62,82.6,8.7,"2017","May","Thermocline","No Thermocline"
"2697","LWQA-S",2017-05-15,8,9.65,82.3,8.4,"2017","May","Thermocline","No Thermocline"
"2698","LWQA-S",2017-05-15,9,9.66,82.2,8.3,"2017","May","Thermocline","No Thermocline"
"2699","LWQA-S",2017-05-15,10,9.76,81.3,7.3,"2017","May","Hypolimnion","No Thermocline"
"2700","LWQA-S",2017-05-15,11,9.81,80.4,6.8,"2017","May","Hypolimnion","No Thermocline"
"2701","LWQA-S",2017-05-15,12,9.77,79.1,6.3,"2017","May","Hypolimnion","No Thermocline"
