"","season","2.5 %","97.5 %","tau","p.corrected"
"1","RS.Tau",0.0923772609819122,0.399841017488076,0.269558481797057,0.00549570563642732
"2","Jun",0.00162337662337662,0.490605427974948,0.264044943820225,0.0818206121316736
"3","Jul",0.208695652173913,0.654237288135593,0.49438202247191,0.00196035694136287
"4","Aug",-0.0254237288135593,0.583333333333333,0.325503355704698,0.0470208408887005
"5","Sep",-0.359375,0.280542986425339,-0.0676156583629893,0.661210158271816
